order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_value,delivery_method,traffic_condition,weather_condition,delivery_time_actual,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,preferred_cuisine,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,predicted_delivery_mode,traffic_avoidance,restaurant_name,tags
5047aeR,21,Tacos,2024-10-14,2024-10-14,8.83,38.47,Car,Low,Snowy,0,0.35,Route_3,bf8fe126-f8ce-4299-b347-30dcf6b36ff7,39,Male,City_10,31,2,American,Weekly,Yes,Warm,3,5,Fair,5,FALSE,FALSE,Mixed,0.522897967,Car,No,Cocinero,"Mexican,Tacos,Burritos"
c4cdccR,21,Burritos,2024-01-24,2024-01-24,13.22,29.3,Bike,High,Snowy,0,-7.05,Route_2,77bca106-54f9-4951-93d8-d2ce587e6dd6,47,Male,City_3,41,4,Asian,Monthly,Yes,Cold,1,4,Fair,2,TRUE,TRUE,Mixed,0.05340061019,Car,No,Cocinero,"Mexican,Tacos,Burritos"
102728I,21,Chicken rice,2024-03-06,2024-03-06,9.24,6.41,Car,High,Snowy,0,0.34,Route_3,cc3fd377-6021-47d0-89e7-9a05f339cc6d,43,Male,City_1,40,3,Asian,Monthly,Yes,Cold,3,3,Good,3,FALSE,FALSE,Bike-friendly,0.6941362283,Car,No,Cocinero,"Mexican,Tacos,Burritos"
cb9ad7F,21,Burritos With Guac,2024-10-30,2024-10-30,5.37,34.83,Car,Medium,Sunny,0,17.15,Route_5,71b142d7-d2e4-49f4-9c04-ed4cb93d6f29,48,Female,City_1,21,1,Mexican,Weekly,No,Hot,1,4,Good,2,FALSE,FALSE,Mixed,0.6266878216,Bike,No,Cocinero,"Mexican,Tacos,Burritos"
1b95baN,21,Tacos With Guac,2024-04-04,2024-04-04,5.19,45.79,Car,Low,Sunny,0,4.54,Route_4,080d731d-db01-4af2-8789-d1a0303be1f2,35,Female,City_8,41,3,Mediterranean,Monthly,No,Cold,4,2,Fair,1,FALSE,TRUE,Mixed,0.3270306655,Car,No,Cocinero,"Mexican,Tacos,Burritos"
61ca00Y,21,Horchata,2024-11-26,2024-11-26,6.41,26.28,Bike,Medium,Rainy,0,16.02,Route_1,48159b9c-a01e-4afe-b884-8b560d02bfd7,26,Female,City_2,33,5,Mexican,Weekly,No,Cold,5,4,Fair,2,FALSE,TRUE,Bike-friendly,0.9858454839,Car,Yes,Cocinero,"Mexican,Tacos,Burritos"
2e8d18V,21,Side of Salsa,2024-10-19,2024-10-19,2.19,10.51,Walk,High,Snowy,0,8.53,Route_5,60750816-6b58-41c1-8080-060d172cfc55,35,Other,City_2,39,1,Asian,Weekly,No,Cold,3,2,Poor,4,TRUE,TRUE,Mixed,0.4402910601,Car,No,Cocinero,"Mexican,Tacos,Burritos"
5ee788Q,21,Tamales,2024-06-02,2024-06-02,11.65,15.64,Walk,Medium,Rainy,0,7.93,Route_3,ace84d20-af57-488e-96b0-a2e8ca09d4cd,40,Other,City_3,6,3,Asian,Weekly,Yes,Warm,3,2,Fair,1,FALSE,FALSE,Mixed,0.7198595634,Bike,No,Cocinero,"Mexican,Tacos,Burritos"
2b7d2fM,21,Lime Agua Fresca,2024-01-12,2024-01-12,3.82,34.53,Walk,High,Snowy,0,16.25,Route_5,e102e566-79b9-451d-9018-99f1cc11ac6c,33,Other,City_7,12,5,Italian,Monthly,No,Warm,1,5,Poor,1,TRUE,TRUE,Bike-friendly,0.1076401709,Car,No,Cocinero,"Mexican,Tacos,Burritos"
d9965aS,19,Chicken Shawarma Wrap,2024-11-19,2024-11-19,11.29,30.28,Walk,High,Sunny,0,14.17,Route_3,9820e793-9f3d-41d9-81f4-6443d932bc0f,43,Male,City_10,10,5,Italian,Monthly,No,Warm,2,2,Fair,1,TRUE,FALSE,Mixed,0.4964071212,Car,No,Shawarma and More Shawarma,"Middle Eastern,Shawarma,Halal"
773b3eA,19,Beef Shawarma Wrap,2024-09-10,2024-09-10,5.36,43.03,Walk,High,Rainy,0,-7.14,Route_4,386feba4-0d47-4196-a52c-72ff6c09f516,57,Female,City_4,9,1,Italian,Monthly,No,Cold,4,1,Good,5,FALSE,FALSE,Car-only,0.139801981,Car,No,Shawarma and More Shawarma,"Middle Eastern,Shawarma,Halal"
72d098U,19,Chicken Shawarma Bowl,2024-05-05,2024-05-05,8.48,10.17,Car,Medium,Rainy,0,14.33,Route_2,8d1e4f91-8f66-4c5c-9a22-4fcf21e4047f,28,Other,City_9,42,5,Italian,Monthly,No,Cold,1,5,Good,1,TRUE,TRUE,Bike-friendly,0.2447564048,Bike,No,Shawarma and More Shawarma,"Middle Eastern,Shawarma,Halal"
